Temporary In-house Box Reference	Existing box label(s)	Accessed by	Box contents summary	Covering Dates
69	Proofs and Manuscripts! Boing!!! 1998 		1998 Garrett Two-Part Invention MS and Proofs; 1998 David Constantine The Pelt of Wasps MSS and Proofs; Beverley Braune Camouflage 1998; Beverley Braune Camouflage 1998; 1998 Gwyneth Lewis Zero Gravity Proofs and MSS	1998
70	Proofs and Manuscripts! 1993		Packets labelled: 1993 Selima Hill A Little Book of Meat TS and Proofs; 1993 Kay: Other Lovers Proofs and MSS; 1993 Couzyn In the Skin House First Version; Kissing the Night 1993 McNeill Proofs and MSS; 1993 Michael Hulse The New Poetry; 1993 Michael Hulse The New Poetry; 60 Women 1993; Sixty Women Poets (A) Proofs etc. 1993; 1993 Couzyn In the Skin House Proofs and MSS; Elliot Italian Landscape Poems 1993	1993
71	Archive Satnd Magazine Gerald Manger		Packets labelled: Harrison Corrected Proofs File Copies; Loose sheets; 8 copies of Modern Riddles; Loose sheets; Poetry Book Society; Stand; Loose Sheets	
72	Proofs & Manuscipts! Caution not to be used as protective eyewear. '88 - '89.	AW (20.02.13); AW (21.12.13); TB (21.12.13)	Packets labelled: Cassidy Walking on Frogs proofs 1989; Randall Sin Eater 1989; Conn Proofs 1988; The New Czech Poetry 1988 (bound); Czeniawski Burning Forest Proofs 1988; Janovic & Czechs proofs 1988; Bell Uncollected Poems mss 1988; Ratushinskaya pencil letter proof master copy 1988; Nigel Wells Just Bounce 1988; Wells Wilderness 1988; Armitage Zoom! proofs etc. 1989; McDonald Biting the Wax master proof 1989; Ian McDonald Biting the Wax 1989; Martin Bell Complete Poems proofs 1989; McDuff Ice Around Our Lips proofs and typescript 1989	1988 - 1989
73	Proofs and Manuscripts! 1996		Packets labelled: Stephen Dobyns Velocities 1996; Peter Reading Collected Poems (2) 1996; Supposed to Fly; 1996 Jenny Joseph Ghosts Proofs; Proofed Tracey Herd No Hiding Place 1996; Brendan Kennelley Dublines 1996	1996
74	Proofs and Manuscripts! Now a major motion picture from 20th Century Fox		Packets labelled: 1999 Nick Drake The Man in the White Suit MSS and Proofs; 1999 C. K. Williams Repair MS; 1999 Pauline Stainer Parable Island MSS and Proofs; 1999 Yang Lian Where the Proofs Stand Still; 1999 E. P. Thompson Proofs and MSS; 1999 Peters Sheep Don't Go To School Proofs and MSS; 1999 Yang Lian Where the Sea Stands Still More Proofs; 1999 Guillevic/ Montague Carnac Proofs and MSS; 1999 Kennelly Begin MS and Proofs; 1999 C. K. Williams Repair Proofs; London in Poetry and Prose edited Anna Adams; Three loose books of poems	1999
75	Proofs and Manuscripts!!! '78 - '85	AW TB (19.04.13); AW (20.02.13); AW (21.12.13); TB (21.12.13)	Wordsworth Anthology; Briggflatts Bunting; Noel Connor Talitha Cumi 1983; Dunstan Tarot Poems  1980; Douglas Dunn Rumoured City 1982; Neil Astley Ten N.E Poets 1980 (Graeme Hodgson mss for North East Anthology); Hull Anthology 1982; Ed N. Astley Ten North East Poets 1980; Kennelly proofs 1983; Didsbury Butchers of Hull 1982 (file); Tony Harrison Dramatic Verse (1) 1985; Tony Harrison Dramatic Verse (2) 1985	1980 - 1985
76	Proofs and Manuscripts! (Don't cha just love 'em)		"Packets labelled: Tony Harrison Permanently Bard 1995; Freda Downe Collected Poems 1995; Freda Downie Collected Poems 1995; Maxwell/ Proof/ Rest for the Wicked 1995; Hyland/ Proof/ Kicking Sawdust 1995; Hannan/ Proof/ Liar, Jones 1995; Bill Naughton/ Proof/ Neither Use nor Ornament; 1995 Tess Gallacher My Black Horse; Gallacher/ Proof/ My Black Horse 1995; Bartlett/ Proof/ Two Women Dancing; 1995 Tess Gallacher My Black Horse"	1995
77	n/a		"Packets labelled: Deborah Randall Proofs and Reject Setting; Korelitz Proofs and Typescript; Playing for England Scott Typescript; Ma Zhi-Yuan Part 3 Notes to Poems; Holub Poems Before and After Proof Material; Belfast Confetti Proofs; Mistila Proofs; Metro Poems; Loose sheets; Hilda Morley; Ken Smith Poetry with an Edge; Martin Booth Looking for the Rainbow Sign; David Constantine Watching for Dolphins; Climates Ruth Fainlight; In Blackberry Time; Tyneside Free Press; Loose sheets, Bound sheets"	
78	Misc Manuscripts and Tapes and Catalogues		"Basil Bunting Reads 'Briggflats'; The Poetry Quartets: 9 Ian Duhig, Anne Rouse, Matthew Sweeney, Benjamin Zephaniah; The Poetry Quartet: 7 John Burnside, Liz Lochhead, W.N. Herbert, Don Paterson; The Poetry Quartets: 1 Simon Armitage, Jackie Kay, Kathleen Jamie, Glyn Maxwell; The Poetry Quartets: 4 Paul Durcan, Michael Longley, Brendan Kennelly, Medbh McGuckian; The Poetry Quartets: 8 Charles Causley, Lavinia Greenlaw, David Constantine, Andrew Motion; The Poetry Quartets: 2 Fleur Adcock, Selima Hill, Carol Ann Duffy, Carol Rumens; The Poetry Quartets: 3 James Fenton, Peter Reading, Tony Harrison, Ken Smith; The Poetry Quartets: 6 Moniza Alvi, Anne Stevenson, Michael Donaghy, George Szirtes; The Poetry Quartets: 5 Helen Dunmore, Elizabeth Jennings, U.A. Fanthorpe, Jo Shapcott; The Other Jamaican Memoirs of a Postcolonial Man Louis Simpson; John Hartley Williams The Touchstone; Wes Magee; The Catalogue 1995-1997; Complete List Autumn 2001-Spring 2001;  Complete List 2005; New Books and Complete List 2009; The Catalogue 1993-1995; Complete List 2005; The Catalogue 1996-1998; The Catalogue 1998-1999; Complete List Autumn 2000 - Spring 2001; The Blackbird's Field poems by Vasko Popa with drawings by Zivojin Turinski; In the Kibble Palace; John Hartley Williams 1980-1987; Carol Rumens Irina Play; Jem Poster Brought to Light MS and Proofs; Drew Buddha Poems; Eckhard Mahon; Maureen Duffy; Smith's Dock Correspondence; Len Tabner; Smith's Dock Production File; 2001 Galway Kinnell Selected MSS and Proofs and Rilke; The King My Father's Wreck Louis Simpson; Complete List 2006-07, New Books Spring and Summer 2006; Poetry that Sells Core Stock for all bookshops; New Books and Complete List 2010; New Books and Complete List 2011; New Books Spring and Summer 2003; New Books Spring Summer and Summer 2006; New Books Spring and Summer 2005; New Books Autumn 2005; Being Alive the sequel to Staying Alive; New Books Autumn 2004-Winter 2004-05; New Books Autumn 2006 - Winter 2006-07; Paul Hyland Getting into Poetry; Under the Rainbow Writers and Artists in Schools David Morley; New Books Spring and Summer 2004; New Books and Complete List; New Books Autumn 2004-Winter 2004-05;  Razumovsky / Marina Tsvetayeva 1994 Proofs"	
79	n/a		Packets labelled: Directors Meetings; Editorial Report; Chairman 's Report; Bloodaxe Pandon Detailed Trial Balance; Mr. Simon Thirsk; Microsoft Dangerous Creatures; Unlabelled folder; Alpha Customer List T/Sales; Response; Loosr sheets; Book Club Association; Book MKTG and MKT Research; Unlabelled packet; Jack Mapanje Skipping Without Ropes Proofs and MSS	
80	Proofs and Manuscripts! (Now in stereo where available)		Packets labelled: 2000 Dobyns There are others; 2000 George Szirtes Buda Pest File MSS and Proofs; 2000 Dobyns Pallbearers First MSS (Superseded); Julie O'Callaghan Can Do Proof Corrections Typescripts (3 versions) 2000; 2000 Douglas Oliver A Salvo for Africa Earlier versions of MS; 2000 Stétié Cold Water Shielded MSS and Proofs; Bunting Complete Poems Proofs	2000
