Temporary In-house Box Reference,Existing box label(s),Accessed by,Box contents summary,Covering Dates,Box :
28,Proofs and Manuscripts 1996,,Packets labelled: 1996 W. N. Herbert Cabaret McGonagall Proofs and TS; 1996 Lorca and Kennelly Blood Wedding Proofs; 1996 Meehan Mysteries of the Home Proofs; 1996 Zephaniah Propa Propaganda Proofs; 1996 Adrian Mitchell Blue Coffee MSS; 1996 Judi Benson Long Pale Corridor Proofs; 1996 Fairleigh When the Tunnels Meet Proofs and MSS; Bloodaxe Books Information; 1996 Stainer 1 Ice Pilot Speaks 2 Wound Dresser's Dream Proofs and MSS; 1996 Higgins Sunny Side Proofs; 1996 Selected Poems H”lderlin 2nd Edition Proofs,1996,W. N. Herbert Cabaret McGonagall Proofs TS :Lorca Kennelly Blood Wedding Proofs :Meehan Mysteries Home Proofs :Zephaniah Propa Propaganda Proofs :Mitchell Blue Coffee MSS :Judi Benson Long Pale Corridor Proofs :Fairleigh When Tunnels Meet Proofs MSS :Bloodaxe Books Information :Stainer Ice Pilot Speaks Wound Dresser's Dream Proofs MSS :Sunny Side Proofs :Edition Proofs :
29,Proofs and Manuscripts Beware: flying pigs 2000,,2000 Edna Longley Poetry and Posterity Proofs; Grip on the Thin Air Jane Griffiths Proofs and MSS 2000; 2000 Isabel Martin Reading Peter Reading MSS and Prooofs; 2000 Edna Longley Poetry and Posterity Proofs ,2000,Edna Longley Poetry Posterity Proofs :Grip Thin Air Jane Griffiths Proofs MSS :Isabel Martin Reading Peter Reading MSS Prooofs :Edna Longley Poetry Posterity Proofs :
30,Manuscripts and Proofs ,,Packets labelled: '98 Clare Pollard Havey Petting Zoo MS and Proofs; Reading Party; Gwyneth Lewis Zero Gravity; Tony Harrison The Gaze of the Gorgon; The Fire-Gap Tony Harrison; Cheque with orders held-book NYP; Michael Chaplin; Matt Simpson; Unlabelled packet; Dutton; Fleur Adcock Poems 1960-2000; Step by Step Sirkka-Liisa Konttinen; Dutton; Loose Poems; Unlabelled folder; Heslop Autobiography - Original Version; Vyacheslav Kuprianov trs. Francis R. Jones; Unlabelled file; Loose poems; Long Pale Corridor; Mistila Proofs etc.; John Hartley Williams; Unlabelled Folder ,1998,Clare Pollard Havey Petting Zoo MS Proofs :Party :Gwyneth Lewis Zero Gravity :Tony Harrison The Gaze Gorgon :Tony Harrison :Cheque NYP :Michael Chaplin :Matt Simpson :Unlabelled :Dutton :Fleur Adcock Poems :Step Step Sirkka-Liisa Konttinen :Dutton :Loose Poems :Unlabelled :Heslop Autobiography Original Version :Vyacheslav Kuprianov trs. Francis R. Jones :Unlabelled :Loose :Pale Corridor :Mistila Proofs etc. :John Hartley Williams :Unlabelled Folder :
31,Proofs and Manuscripts 1986 The path to Nirvana begins here,,Packets labelled: 1987 Boundless Function Arthur Gibson; Ken Smith Chinese Whispers Old Text 1987; 1987 Kibble Place Conn proofs etc.; 1987 Pete Didsbury The Classical Farm; Didsbury Classical Farm-Typescript 1987; Ken Smith 1987 Chinese Whispers Proofs; Holub Proofs 1987; For Pack # 1 Adcock Dooley Litherland Maughan 1986; Selected Poems Levertov Proofs Derek Smith For Collection by 'Bloodaxe Books' 1986; G. F. Dutton Squaring the Waves 1986; Dutton Typescript; Greig/Jamie Flame in your Heart 1986; Greig/Jamie Flame in Your Heart 1986; Sea Skater Dunmore 80; Jimmy Forsyth Editorial Correspondence Scotswood Road 1986; 1986 Ruth Fainlight; 1986 Jimmy Forsuth Scotswood Road; 1986 Steve Ellis,1986-1987,Boundless Function Arthur Gibson :Ken Smith Chinese Whispers Old Text :Kibble Place Conn etc. :Pete Didsbury The Classical Farm :Didsbury Classical Farm-Typescript :Ken Smith Proofs :Holub Proofs :Pack Adcock Dooley Litherland Maughan :Selected Poems Levertov Proofs Derek Smith For Collection :G. F. Dutton Squaring Waves :Dutton Typescript :Flame Heart :Flame Heart :Sea Skater Dunmore :Jimmy Forsyth Editorial Correspondence Scotswood Road :Ruth Fainlight :Jimmy Forsuth Scotswood Road :Steve Ellis :
32,Proofs and Manuscripts A ripping good family day out 1997,,1997 Anne Rouse Timing MSS and Proofs; 1997 C. K. Williams The Vigil Manuscript; 1997 Adrian Mitchell Heart on the Left MSS and Proofs; 1997 Gillian Ferguson Air for Sleeping Fish Proofs and MSS; 1997 Ruth Fainlight Sugar Paper Blue MSS and Proofs; 1997 Jane Holland Brief History...MSS and Proofs; 1997 Making for Planet Alice Proofs; 1997 John Hartley Williams Canada Proofs and MSS; 1997 Enzensberger Kiosk Proofs; 1997 Ursu Sky Behind Forest Proofs and MSS; 1997 Common Carnage a collection of poetry by Stephen Dobyns,1997,Anne Rouse Timing MSS Proofs :C. K. Williams The Vigil Manuscript :Mitchell Heart Left MSS Proofs :Ferguson Air Sleeping Fish Proofs MSS :Ruth Fainlight Sugar Paper Blue MSS Proofs :Jane Holland Brief History...MSS Proofs :Making Planet Alice Proofs :John Hartley Williams Canada Proofs MSS :Enzensberger Kiosk Proofs :Ursu Sky Behind Forest Proofs MSS :Carnage Stephen Dobyns :
33,Proofs and Manuscripts! 1990,,Packets labelled: 1990 Andrew Greig Order of the Day Proofs etc.; Richard Murphy The Mirror Wall 1990; Hewett Proofs Alice in Wormland; Tremor of Racehorses Fischerov  Proofs 1990; Counterpoint Proof R. S. Thomas 1990; Waiting for the Storm 1990 Mangan Proofs; Mangan Proofs Waiting for the Storm 1990; Simpson Galosherman rejects 1990; Matt Simpson An Elegy for the Galosherman Correction Pages; Glyn Maxwell Tale of the Mayor's Son Final Version 1990; Morden Tower Material Brown; Gordon 1990; Brendan Kennelly A Time for Voices '90; Dear Next Prime Minister Astley 1990; '90 Tale of the Mayor's Son; Dave Ketchin Riverrun Signatures; Loose Sheets; Maxwell; Maxwell Proofs; Glyn Maxwell Tale of the Mayor's Son Proof '90; Galosherman '90 Matt Simpson,1990,Andrew Greig Order Day Proofs etc. :Richard Murphy The Mirror Wall :Hewett Proofs Alice Wormland :Tremor Racehorses Fischerov  Proofs :Counterpoint Proof R. S. Thomas :Storm Mangan Proofs :Mangan Proofs Waiting Storm :Simpson Galosherman :Matt Simpson An Elegy Galosherman Correction Pages :Glyn Maxwell Tale Son Final Version :Morden Tower Material Brown :Gordon :Brendan Kennelly A Time :Dear Next Prime Minister Astley :Tale Son :Dave Ketchin Riverrun Signatures :Loose :Maxwell :Maxwell Proofs :Glyn Maxwell Tale Son Proof '90 :Galosherman Matt Simpson :
34,Proofs & M/scripts '78 - '85,AW (20.02.13); AW (21.12.13); AW TB (21.12.13);,Ken Smith Tristan Crazy 1978; Carter proofs and artwork 1985; Bunting 1980; Horovitz proofs (2) 1985; Paulin 1985; [David Contantine] Davies CRC/Brass/Dummy 1985; Horovitz 1985; Paul Hyland Stubborn Forest setting 1984; Soresco mss & proofs selected poems 1983; O' Brien proofs and mss 1983; Leopold Staff mss and proofs 1983; Davies revised text 1985; Davies 1985 proofs; Horovitz proofs 1985,1978 - 1985,Ken Smith Tristan Crazy :Carter ::Horovitz :Paulin ::Horovitz :Paul Hyland Stubborn Forest :Soresco :Brien :Leopold Staff :::Horovitz :
36,Proofs and Manuscripts Now 35% more funerific 1990,,Joolz Emotional Terrorism 1990; 1990 Hulub Proof Master Copy; Dear Next Prime Minister Editorial File 1990; Gordon Brown High on the Walls 1990; Rumens New Women Poets 1990; 1991 Duhig Proofs and Typescripts The Bradford Count; 1991 Dutton Proofs Concrete Garden; 1991 Herbert Lomas Contemporary Finnish Poetry Revised Version 4th August 1990,1990-1991,Joolz Emotional Terrorism :Hulub Proof Master Copy :Dear Next Prime Minister Editorial File :Gordon Brown High Walls :New Women :Duhig Proofs Typescripts The Bradford Count :Dutton Proofs Concrete Garden :Herbert Lomas Contemporary Finnish Poetry Revised Version August :
38,Proofs and Manuscripts! 1994,,"Packets labelled: Longley: Living Stream 1994; 1994 (Caspar Hauser) David Constantine Nobby Horn; 1994 Tsvetaxeva Typescript; [Envelope addressed to] Neil Astley; 1994 Jacottet Proofs and MS Under Clouded Skies; 1994 Heslop Proofs Out of Old Earth; 1994 Proofs to MSS Selima Hill ""Trembling Hearts in the Bodies of Dogs""; 1994 Edna Longley The Living Stream (1); Edna Longley The Living Stream (2); Edna Longley The Living Stream (3)",1994,"Living Stream :David Constantine Nobby Horn :Tsvetaxeva Typescript :Neil Astley :Jacottet Proofs MS Under Clouded :Heslop Proofs Out Old Earth :Proofs MSS Selima Hill """"Trembling Hearts Dogs"""" :Edna Longley The Living Stream (1) :Edna Longley The Living Stream (2) :Edna Longley The Living Stream (3)"" :"
39,Proofs and Manuscripts (Mama said knock you out) 1995 ,,Packets labelled: Labels for Selection Books 1995; 1995 Kennelys Poetry My Arse Proof Copy; 1995 O'Siadhails Fragile City Proof Copy; 1995 Astley's Biting my Tongue Proof Copy; 1995 Conn In the Blood Poems by Stweart Conn; 1995 Carol Rumens Best China Sky - early version of MS; 1995 Annemarie Austin Proofs and MSS Flaying of Marsyas Door upon Door; 1995 Micheal O' Siadhail MSS and Proofs A Fragile City; 1995 Duhig Mersey Goldfish Proofs and MSS; Tony Harrison Permanently Bard; Cesaire: Master Proofs Return to my Native Land 1995; 1995 Helen Kitson Love Among the Guilty MSS and Proofs; 1995 Gwyneth Lewis Parables and Faxes MSS and Proofs,,Selection Books :Poetry My Arse Proof Copy :Fragile City Proof Copy :Biting Tongue Proof Copy :Conn In Blood Poems Stweart Conn :Carol Rumens Best China Sky MS :Annemarie Austin Proofs MSS Flaying Marsyas Door Door :Micheal O' Siadhail MSS Proofs Fragile City :Duhig Mersey Goldfish Proofs MSS :Tony Harrison Permanently Bard :Master Proofs Return Native Land :Helen Kitson Love Among Guilty MSS Proofs :Gwyneth Lewis Parables Faxes MSS Proofs :
