Access Format	Approved	Approved By	Bit Depth	Book Title	Camera Make	Camera Model	Cataloged	Cataloged By	Changed	Changed By	Client Name	Collection	Color Mode	Color Profile	Copyright	Created	Creator Application	Creator Mac	Creators	Date	Description	Description 	Description Writer	Directory Path	Duration	DVD Number	EXIF - Aperture	EXIF - Date Digitized	EXIF - Date Taken	EXIF - Exposure Bias	EXIF - Exposure Time	EXIF - F-Number	EXIF - Flash	EXIF - Focal Length	EXIF - ISO Speed	EXIF - Light Source	EXIF - Metering Mode	EXIF - Shutter Speed	EXIF - White Balance	Extension	File Size	File Type Mac	Filename	GPS - Altitude	GPS - Latitude	GPS - Longitude	Height	Horizontal Resolution	IPTC - Category	IPTC - City	IPTC - Copyright Info URL	IPTC - Copyright Notice	IPTC - Country	IPTC - Country Code	IPTC - Creator	IPTC - Creator Address	IPTC - Creator City	IPTC - Creator Country	IPTC - Creator Email	IPTC - Creator Job Title	IPTC - Creator Phone	IPTC - Creator Postal Code	IPTC - Creator State/Province	IPTC - Creator Web URL	IPTC - Credit	IPTC - Date Created	IPTC - Headline	IPTC - Instructions	IPTC - Intellectual Genre	IPTC - Location	IPTC - Rights Usage Terms	IPTC - Scene	IPTC - Source	IPTC - State/Province	IPTC - Subject Code	IPTC - Supplemental Categories	IPTC - Title	IPTC - Transmission Reference	IPTC - Urgency	Item ID	Job Name	Job Status	Keywords	License Agreement for Project	Licensed for Web	Modified	Movie - Audio Codec	Movie - Channels	Movie - Color Depth	Movie - Duration	Movie - FPS	Movie - Sample Rate	Movie - Sample Size	Movie - Video Codec	MS - Author	MS - Company	MS - Last Saved By	MS - Manager	MS - Subject	MS - Template	MS - Title	Number of Pages	Original/Preservation Format	Path	Photoshop Label	Photoshop Rating	Reference	Related Material	Routed To	Routing Notes	Short Filename Win	Thumbnail Size	Title	Type	Vertical Resolution	Volume	Watermark URL	Watermarked	Website	Width	Work Needed	Zone Mac
JPEG				The Snow Watcher			12/10/2013 10:24	AutoSync	12/12/2013 12:36	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/10/2013 10:15	Adobe Photoshop CS6 (Windows)		Chase Twitchell	1999		"Cover image depicts a mass produced Japanese lithograph, by unknown artist"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	4718 K	JPEG	BXB821-TWISNO-01.jpg				2510	300		%G																														584						12/10/2013 10:15																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-TWISNO-01.jpg			BXB821-TWISNO-01				e:\assets\BloodAxe\BLOODA~2\BXAFC9~1.JPG	256	Front cover of The Snow Watcher	Image	300	assets$				1598		
JPEG				 A Vallery in the Midst of Violence			12/11/2013 10:32	AutoSync	12/13/2013 1:04:13 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Chris WilsonGosta AgreenTranslated by David McDuff	1992		"Cover image depicts a drawing titled Between Air & Stone, A Heavy Silence, by Chris Wilson"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5246 K	JPEG	BXB821-AGRVAL-01.jpg				2524	300		%G																														587			David McDuffGosta AgreenA Valley in the Midst of Violence			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-AGRVAL-01.jpg			BXB821-AGRVAL-01				e:\assets\BloodAxe\BLOODA~2\BX940E~1.JPG	256	Front cover of A Vallery in the Midst of Violence	Image	300	assets$				1606		
JPEG				On the Border			12/11/2013 10:32	AutoSync	12/13/2013 1:05:29 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Annemarie AustinCover image by Spilliaert	1993		"Cover image depicts a painting titled Sea Dyke, by Leon Spilliaert"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6687 K	JPEG	BXB821-AUSBOR-01BXB821-AUSBOR-01BXB821-AUSBOR-01.jpg				2533	300		%G																														588			Annemarie AustinOn the Border			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-AUSBOR-01BXB821-AUSBOR-01BXB821-AUSBOR-01.jpg			BXB821-AUSBOR-01				\\lichfield\assets$\BloodAxe\BLOODA~2\BX906A~1.JPG	256	Front cover of On the Border	Image	300	assets$				1598		
JPEG				New and Selected Poems			12/11/2013 10:32	AutoSync	12/13/2013 1:04:59 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Sidney GoodmanStephen Berg	1992		"Cover image depicts a painting titled A Man's Arm, by Sidney Goodman"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	8054 K	JPEG	BXB821-BERNEW-01.jpg				2673	300		%G																														589			New and Selected PoemsStephen Berg			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BERNEW-01.jpg			BXB821-BERNEW-01				e:\assets\BloodAxe\BLOODA~2\BX91D2~1.JPG	256	Front cover of New and Selected Poems	Image	300	assets$				1730		
JPEG				Wordworks			12/11/2013 10:32	AutoSync	12/13/2013 1:08:03 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Edited by Neil Astley and Mark Lavender	1992		Cover image depicts photographs of six of the poets whose poetry features within the book. Photographs take the form of the word WORDWORKS		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5737 K	JPEG	BXB821-ASTWOR-01.jpg				2525	300		%G																														590			Mark LavenderNeil AstleyWordworks			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-ASTWOR-01.jpg			BXB821-ASTWOR-01				e:\assets\BloodAxe\BLOODA~2\BXA719~1.JPG	256	Front cover of Wordworks	Image	300	assets$				1598		
JPEG				On the Motion and Immobility of Douve			12/11/2013 10:32	AutoSync	12/13/2013 1:07:45 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Claude le LorrainTranslated by Galway KinnellYves Bonnefoy	1992		"Cover image depicts a painting titled Landscape with Psyche Outside the Palace of Cupid, by Claude le Lorrain"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	3745 K	JPEG	BXB821-BONMOT-01.jpg				2526	300		%G																														591			Galway KinnellOn the Motion and Immobility of DouveYves Bonnefoy			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BONMOT-01.jpg			BXB821-BONMOT-01				e:\assets\BloodAxe\BLOODA~2\BXAFCA~1.JPG	256	Front cover of On the Motion and Immobility of Douve	Image	300	assets$				1577		
JPEG				Middle Passages			12/11/2013 10:32	AutoSync	12/13/2013 1:09:43 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Paul SharrockKamau Brathwaite	1992		"Cover image depicts an illustration of a map depicting a slave ship's journey across the Atlantic Ocean, by Paul Shorrock"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5918 K	JPEG	BXB821-BRAMID-01.jpg				2522	300		%G																														592			Kamau BrathwaiteMiddle Passages			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BRAMID-01.jpg			BXB821-BRAMID-01				e:\assets\BloodAxe\BLOODA~2\BX113E~1.JPG	256	Front cover of Middle Passages	Image	300	assets$				1619		
JPEG				The Dawn Breakers			12/11/2013 10:32	AutoSync	12/13/2013 1:09:03 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Rene CharEdited by Michael WortonRene CharTranslated by Michael Worton	1992		"Cover image depicts a painting titled L'Oiseau Exorciseur, by Rene Char"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	4823 K	JPEG	BXB821-CHADAW-01.jpg				2525	300		%G																														593			Michael WortonRene CharThe Dawn Breakers			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CHADAW-01.jpg			BXB821-CHADAW-01				e:\assets\BloodAxe\BLOODA~2\BX0906~1.JPG	256	Front cover of The Dawn Breakers	Image	300	assets$				1625		
JPEG				Who Whispered Near Me			12/11/2013 10:32	AutoSync	12/13/2013 2:44:20 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Mike Starn and Doug StarnKillarney Clary	1993		"Cover image depicts an installation titled Large Double Eye, by Mike Starn and Doug Starn"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6687 K	JPEG	BXB821-CLAWHO-01.jpg				2524	300		%G																														594			Killarney ClaryWho Whispered Near Me			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CLAWHO-01.jpg			BXB821-CLAWHO-01				e:\assets\BloodAxe\BLOODA~2\BX1E09~1.JPG	256	Front cover of Who Whispered Near Me	Image	300	assets$				1608		
JPEG				Approach to Murano			12/11/2013 10:32	AutoSync	12/13/2013 2:44:05 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		"Cover image courtesy of the Royal Collection, St Jame's Palace, Her Majesty The QueenJack Clemo"	1993		"Cover image depicts a painting titled After Canaletto: Venice: View Towards Murano from the Fondamenta Nuove, courtesy of the Royal Collection, Her Majesty The Queen"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6229 K	JPEG	BXB821-CLEAPP-01.jpg				2530	300		%G																														595			Approach to MuranoJack Clemo			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CLEAPP-01.jpg			BXB821-CLEAPP-01				e:\assets\BloodAxe\BLOODA~2\BX1AF6~1.JPG	256	Front cover of Approach to Murano	Image	300	assets$				1620		
JPEG				The Irish Card			12/11/2013 10:32	AutoSync	12/13/2013 2:46:00 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Brendan ClearyCover image by Moira Conway	1993		"Cover image depicts a photograph of the poet Brendan Cleary, by Moira Conway"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6066 K	JPEG	BXB821-CLEIRI-01.jpg				2525	300		%G																														596			The Irish CardBrendan Cleary			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CLEIRI-01.jpg			BXB821-CLEIRI-01				e:\assets\BloodAxe\BLOODA~2\BX14F4~1.JPG	256	Front cover of The Irish Card	Image	300	assets$				1596		
JPEG				The Desert Route: Selected Poems			12/11/2013 10:32	AutoSync	12/13/2013 2:45:29 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image copyright Wychwood EditionsHarry Clifton	1992		Cover image depicts Hondius World Map 1630		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6258 K	JPEG	BXB821-CLIDES-01.jpg				2525	300		%G																														597			Harry CliftonThe Desert RouteThe Desert Route: Selected Poems			12/11/2013 10:26																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CLIDES-01.jpg			BXB821-CLIFDES-01				e:\assets\BloodAxe\BLOODA~2\BX130E~1.JPG	256	Front cover of The Desert Route: Selected Poems	Image	300	assets$				1625		
JPEG				The Luncheon of the Boating Party			12/11/2013 10:32	AutoSync	12/13/2013 2:47:23 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by RenoirStewart Conn	1992		"Cover image depicts a painting titled The Luncheon of the Boating Party, by Renoir"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	7076 K	JPEG	BXB821-CONLUN-01.jpg				2524	300		%G																														598			Stewart ConnThe Luncheon of the Boating Party			12/11/2013 10:27																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CONLUN-01.jpg			BXB821-CONLUN-01				e:\assets\BloodAxe\BLOODA~2\BXA287~1.JPG	256	Front cover of The Luncheon of the Boating Party	Image	300	assets$				1628		
JPEG				In the Skinhouse			12/11/2013 10:33	AutoSync	12/13/2013 2:47:03 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Jeni Couzyn	1993		"Cover image depicts an illustration of the human anatomyconsisting of hills, trees and birds"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6850 K	JPEG	BXB821-COUINT-01.jpg				2537	300		%G																														599			In the SkinhouseJenzi Couzyn			12/11/2013 10:27																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-COUINT-01.jpg			BXB821-COUSKI-01				e:\assets\BloodAxe\BLOODA~2\BXAB09~1.JPG	256	Front cover of In the Skinhouse	Image	300	assets$				1598		
JPEG				British Subjects			12/11/2013 10:33	AutoSync	12/13/2013 2:48:30 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Tam JosephFred D'Aguiar	1993		"Cover image depicts an illustration titled UK Schol Report, by Tam Joseph"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6295 K	JPEG	BXB821-DAGBRI-01.jpg				2530	300		%G																														600			British SubjectsFred D'Aguiar			12/11/2013 10:27																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-DAGBRI-01.jpg			BXB821-DAGBRI-01				e:\assets\BloodAxe\BLOODA~2\BXA7AA~1.JPG	256	Front cover of British Subjects	Image	300	assets$				1619		
JPEG				Watermelon Man			12/11/2013 10:33	AutoSync	12/13/2013 2:48:16 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		Cover image by Rufino TamayoKatie Donovan	1993		"Cover image depicts a painting titled El Comedor de Sandia, by Rufino Tamayo"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6013 K	JPEG	BXB821-DONWAT-01.jpg				2514	300		%G																														601			Katie DonovanWatermelon Man			12/11/2013 10:27																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-DONWAT-01.jpg			BXB821-DONWAT-01				e:\assets\BloodAxe\BLOODA~2\BX995B~1.JPG	256	Front cover of Watermelon Man	Image	300	assets$				1567		
JPEG				Selected Poems			12/11/2013 10:33	AutoSync	12/13/2013 2:49:54 PM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/11/2013 10:31	Adobe Photoshop CS6 (Windows)		"Cover design by Molly RendaCover image by Alberto GiacomettiJacques DupinTranslated by Paul Auster, Stephen Romer and David Shapiro"	1992		"Cover image depicts a painting titled Portrait de Jacques Dupin, by Alberto Giacometti"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	7512 K	JPEG	BXB821-DUPSEL-01.jpg				2688	300		%G																														602			David ShapiroPaul AusterSelected PoemsStephen Romer			12/11/2013 10:27																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-DUPSEL-01.jpg			BXB821-DUPSEL-01				e:\assets\BloodAxe\BLOODA~2\BX9842~1.JPG	256	Front cover of Selected Poems	Image	300	assets$				1612		
